Date,Revenue,COGS,number_of_order,number_of_customer,sum_of_sessions,sum_of_page_views,sum_of_shipping_fee,number_visitor_review,mean_of_rating,sum_of_refund,number_of_customer_signup
2012-09-04,3645749.44,2876968.79,147,147,22440.256666666668,96909.68666666666,928.36,50.0,3.78,171376.43,3.0
2012-09-05,2398185.51,1966376.48,87,87,22440.256666666668,96909.68666666666,577.05,27.0,4.222222222222222,196717.07,3.0
2012-09-06,2858227.37,2147909.96,119,119,22440.256666666668,96909.68666666666,454.78,33.0,3.8529411764705883,82635.49,4.0
2012-09-07,3282753.8,2580035.06,139,136,22440.256666666668,96909.68666666666,427.84,37.0,3.72972972972973,40420.24,2.0
2012-09-08,3666204.89,2804001.32,130,130,22440.256666666668,96909.68666666666,883.65,39.0,4.0,79984.97,1.0
2012-09-09,4458501.42,3589475.8,170,169,22440.256666666668,96909.68666666666,469.83,29.0,3.310344827586207,126433.06999999999,5.0
2012-09-10,4548962.79,3517300.88,186,185,22440.256666666668,96909.68666666666,516.15,43.0,4.068181818181818,112120.33,3.0
2012-09-11,4021565.55,3264364.41,129,128,22440.256666666668,96909.68666666666,799.35,30.0,4.032258064516129,116393.72,7.0
2012-09-12,3335978.29,2673690.65,108,108,22440.256666666668,96909.68666666666,753.06,24.0,3.7083333333333335,133159.78,4.0
2012-09-13,2609609.29,2103806.97,116,115,22440.256666666668,96909.68666666666,752.39,31.0,3.6774193548387095,168681.59,3.0
2012-09-14,3729228.43,2835412.27,136,136,22440.256666666668,96909.68666666666,514.58,41.0,4.487804878048781,96972.84999999999,5.0
2012-09-15,3605125.64,2849539.9,131,128,22440.256666666668,96909.68666666666,506.11,42.0,3.880952380952381,147446.43,6.0
2012-09-16,4452012.44,3561492.95,174,173,22440.256666666668,96909.68666666666,567.55,41.0,4.097560975609756,94477.1,4.0
2012-09-17,4811788.67,3932069.23,206,206,22440.256666666668,96909.68666666666,759.01,48.0,3.9166666666666665,105194.93,3.0
2012-09-18,5078878.07,4123200.89,181,180,22440.256666666668,96909.68666666666,744.14,32.0,3.9375,203736.07,1.0
2012-09-19,3680241.62,3014323.76,147,147,22440.256666666668,96909.68666666666,906.85,30.0,3.8666666666666667,160115.02,8.0
2012-09-20,3763143.75,3080273.62,159,158,22440.256666666668,96909.68666666666,620.73,32.0,4.0,97961.8,7.0
2012-09-21,3943768.14,2978697.93,148,147,22440.256666666668,96909.68666666666,877.77,40.0,3.825,99439.05,1.0
2012-09-22,3872374.03,3011266.74,161,158,22440.256666666668,96909.68666666666,670.08,31.0,3.967741935483871,212802.95,3.0
2012-09-23,4118299.54,3294951.2,178,177,22440.256666666668,96909.68666666666,841.35,35.0,3.914285714285714,85734.4,5.0
2012-09-24,5733263.53,4585762.62,244,243,22440.256666666668,96909.68666666666,973.91,40.0,4.025,111658.6,6.0
2012-09-25,5639897.53,4502395.62,244,244,22440.256666666668,96909.68666666666,1026.81,32.0,4.09375,208952.12,9.0
2012-09-26,4592282.59,3670417.04,200,198,22440.256666666668,96909.68666666666,898.44,36.0,4.166666666666667,294479.38,5.0
2012-09-27,7556892.66,6017108.13,349,344,22440.256666666668,96909.68666666666,1416.23,31.0,3.967741935483871,72123.44,3.0
2012-09-28,4892631.14,3884590.92,216,216,22440.256666666668,96909.68666666666,1278.46,41.0,3.951219512195122,129061.22,31.64437689969605
2012-09-29,5304374.46,4170120.63,224,223,22440.256666666668,96909.68666666666,1260.16,33.0,4.0606060606060606,113451.14,3.0
2012-09-30,4694379.86,3812737.52,196,193,22440.256666666668,96909.68666666666,1183.97,34.0,3.9411764705882355,76756.34,4.0
2012-10-01,4752532.1,3764447.04,205,203,18111.535483870968,78171.68387096774,1130.45,33.0,3.9696969696969697,150480.03,5.0
2012-10-02,3233135.78,2566510.62,104,104,18111.535483870968,78171.68387096774,614.62,29.0,3.896551724137931,235161.4,4.0
2012-10-03,3515132.03,2762823.63,108,107,18111.535483870968,78171.68387096774,804.37,28.0,4.0,116852.15000000001,7.0
2012-10-04,2398137.74,1902425.74,77,75,18111.535483870968,78171.68387096774,471.76,40.0,4.125,94519.42,7.0
2012-10-05,2665953.06,2064899.19,101,100,18111.535483870968,78171.68387096774,543.57,20.0,3.65,316901.88,6.0
2012-10-06,2205266.94,1755004.4,80,80,18111.535483870968,78171.68387096774,384.46,35.0,3.6857142857142855,132573.29,3.0
2012-10-07,3389598.07,2725469.75,110,108,18111.535483870968,78171.68387096774,296.5,38.0,4.052631578947368,126872.85,3.0
2012-10-08,4037039.45,3285493.04,142,139,18111.535483870968,78171.68387096774,347.29,33.0,3.9393939393939394,214396.41,7.0
2012-10-09,4298675.76,3472700.63,167,164,18111.535483870968,78171.68387096774,677.41,24.0,3.9583333333333335,209675.35,5.0
2012-10-10,3548716.67,2839202.59,131,131,18111.535483870968,78171.68387096774,799.65,37.0,4.027027027027027,154778.66,9.0
2012-10-11,3421490.39,2765374.16,109,107,18111.535483870968,78171.68387096774,639.36,31.0,4.129032258064516,48709.74,6.0
2012-10-12,2380119.87,1830898.15,94,94,18111.535483870968,78171.68387096774,527.53,34.0,4.352941176470588,189341.09,4.0
2012-10-13,2798011.44,2256579.15,125,124,18111.535483870968,78171.68387096774,499.65,23.0,4.0,265916.8,3.0
2012-10-14,3055629.78,2516987.32,116,116,18111.535483870968,78171.68387096774,676.77,32.0,3.84375,218556.49,4.0
2012-10-15,3234517.3,2632811.8,140,139,18111.535483870968,78171.68387096774,587.6,28.0,4.035714285714286,51745.84,2.0
2012-10-16,3549298.21,2763325.25,152,149,18111.535483870968,78171.68387096774,559.84,26.0,3.9615384615384617,159447.38,3.0
2012-10-17,3818048.0,3108682.75,134,133,18111.535483870968,78171.68387096774,529.09,22.0,4.409090909090909,146676.63,4.0
2012-10-18,2909728.89,2301277.14,109,107,18111.535483870968,78171.68387096774,593.63,16.0,4.1875,57423.21,4.0
2012-10-19,2877379.81,2352068.71,99,98,18111.535483870968,78171.68387096774,646.23,20.0,4.3,170350.88,3.0
2012-10-20,3242557.3,2647331.71,106,106,18111.535483870968,78171.68387096774,542.04,32.0,3.6875,67994.02,3.0
2012-10-21,2395609.91,1920246.47,114,112,18111.535483870968,78171.68387096774,391.69,38.0,3.710526315789474,235055.52,2.0
2012-10-22,3596158.34,2873316.18,142,142,18111.535483870968,78171.68387096774,415.85,27.0,3.6296296296296298,128745.16,3.0
2012-10-23,3999141.88,3151858.27,170,169,18111.535483870968,78171.68387096774,717.21,25.0,3.92,118146.61000000002,5.0
2012-10-24,3829179.99,3037851.31,153,151,18111.535483870968,78171.68387096774,853.91,31.0,3.5806451612903225,125599.1,7.0
2012-10-25,3104460.52,2528526.7,125,125,18111.535483870968,78171.68387096774,676.01,28.0,3.75,95760.18,4.0
2012-10-26,2138927.17,1671777.12,91,91,18111.535483870968,78171.68387096774,761.59,29.0,3.9310344827586206,85755.38,7.0
2012-10-27,2816872.34,2296869.06,122,121,18111.535483870968,78171.68387096774,648.66,30.0,3.5,64950.0,3.0
2012-10-28,6259883.83,5044146.85,259,256,18111.535483870968,78171.68387096774,659.05,24.0,3.5416666666666665,73799.91,9.0
2012-10-29,5424539.1,4294440.71,236,232,18111.535483870968,78171.68387096774,959.98,28.0,4.0,178806.67,8.0
2012-10-30,6347274.89,5049887.71,250,249,18111.535483870968,78171.68387096774,1186.17,28.0,4.071428571428571,106966.1,2.0
2012-10-31,4942677.89,3871571.88,214,212,18111.535483870968,78171.68387096774,1208.59,21.0,4.142857142857143,59658.799999999996,4.0
2012-11-01,5536748.35,4440955.34,201,198,15230.933333333332,66544.23666666666,1105.92,20.0,3.95,56765.259999999995,3.0
2012-11-02,1936831.08,1547786.14,67,67,15230.933333333332,66544.23666666666,835.25,24.0,3.9583333333333335,264971.21,5.0
2012-11-03,2911848.61,2151815.97,84,84,15230.933333333332,66544.23666666666,734.26,24.0,3.7083333333333335,33003.43,5.0
2012-11-04,2658832.75,2131401.7,85,85,15230.933333333332,66544.23666666666,590.59,21.0,4.285714285714286,103273.37000000001,4.0
2012-11-05,3332448.46,2732792.99,129,129,15230.933333333332,66544.23666666666,436.2,21.0,3.5714285714285716,236659.77,7.0
2012-11-06,3439495.01,2809375.18,109,109,15230.933333333332,66544.23666666666,368.55,24.0,3.7916666666666665,26961.65,2.0
2012-11-07,1969815.91,1538155.1,69,68,15230.933333333332,66544.23666666666,462.67,21.0,3.761904761904762,85495.84,6.0
2012-11-08,2197716.17,1723412.77,88,87,15230.933333333332,66544.23666666666,406.84,25.0,3.8,123326.58,2.0
2012-11-09,2920310.06,2308918.6,107,106,15230.933333333332,66544.23666666666,373.54,27.0,4.0,246692.78,6.0
2012-11-10,3124993.27,2475389.25,122,121,15230.933333333332,66544.23666666666,287.01,27.0,3.8518518518518516,133861.98,3.0
2012-11-11,3484874.3,2713727.18,141,136,15230.933333333332,66544.23666666666,602.42,20.0,4.1,95954.79,2.0
2012-11-12,3806978.06,3077336.49,172,171,15230.933333333332,66544.23666666666,549.25,22.0,4.363636363636363,97565.37,6.0
2012-11-13,3848498.06,3048755.92,149,148,15230.933333333332,66544.23666666666,992.49,18.0,3.736842105263158,28563.989999999998,4.0
2012-11-14,3213518.64,2550177.92,133,132,15230.933333333332,66544.23666666666,948.65,32.0,4.125,179514.05,4.0
2012-11-15,2996358.37,2282178.26,138,136,15230.933333333332,66544.23666666666,778.27,36.0,3.8055555555555554,159214.49000000002,4.0
2012-11-16,2851503.98,2255928.16,117,116,15230.933333333332,66544.23666666666,730.65,24.0,4.333333333333333,166708.56,8.0
2012-11-17,3258479.4,2499839.57,126,123,15230.933333333332,66544.23666666666,620.3,22.0,3.727272727272727,117730.56999999999,6.0
2012-11-18,3292697.97,2632996.71,131,130,15230.933333333332,66544.23666666666,684.4,25.0,4.12,84885.8,2.0
2012-11-19,4654711.93,3714724.53,168,168,15230.933333333332,66544.23666666666,726.41,29.0,3.8620689655172415,250823.44,6.0
2012-11-20,3532139.01,2841184.71,143,143,15230.933333333332,66544.23666666666,648.92,28.0,3.857142857142857,162733.3,4.0
2012-11-21,3144567.59,2465022.82,139,135,15230.933333333332,66544.23666666666,680.46,23.0,4.217391304347826,147854.11,4.0
2012-11-22,2661394.83,2082526.75,108,106,15230.933333333332,66544.23666666666,536.97,28.0,4.071428571428571,52881.47,3.0
2012-11-23,3625609.77,2879673.14,142,141,15230.933333333332,66544.23666666666,586.46,32.0,4.03125,123984.49,5.0
2012-11-24,2283866.51,1759438.38,133,133,15230.933333333332,66544.23666666666,632.25,20.0,3.7,155849.38,7.0
2012-11-25,2891169.43,2288045.69,124,124,15230.933333333332,66544.23666666666,829.98,30.0,3.8333333333333335,85508.36,6.0
2012-11-26,3626699.25,2942841.67,180,178,15230.933333333332,66544.23666666666,873.49,23.0,3.8260869565217392,117596.47,5.0
2012-11-27,4703189.22,3751057.26,257,254,15230.933333333332,66544.23666666666,797.14,21.0,4.380952380952381,185167.2,2.0
2012-11-28,3980270.66,3143037.5,218,212,15230.933333333332,66544.23666666666,1244.29,32.0,4.03125,109758.38,7.0
2012-11-29,3116036.61,2564940.27,176,173,15230.933333333332,66544.23666666666,1629.79,30.0,4.4,104799.4,7.0
2012-11-30,3184691.98,2466641.44,186,184,15230.933333333332,66544.23666666666,1167.22,30.0,3.7666666666666666,36802.59,4.0
2012-12-01,3064822.76,2435991.34,180,177,17138.622580645162,74030.99677419355,1643.61,28.0,4.107142857142857,134375.95,7.0
2012-12-02,1765509.34,1464812.23,60,60,17138.622580645162,74030.99677419355,794.1899999999999,27.0,3.9285714285714284,41096.74,6.0
2012-12-03,2315389.05,1807129.65,83,81,17138.622580645162,74030.99677419355,752.05,32.0,3.71875,25538.55,2.0
2012-12-04,2382954.42,1864688.02,105,105,17138.622580645162,74030.99677419355,691.16,22.0,3.6818181818181817,61195.549999999996,4.0
2012-12-05,2286277.45,1849992.69,92,90,17138.622580645162,74030.99677419355,384.56,31.0,3.935483870967742,38832.38,4.0
2012-12-06,2733678.5,2184618.1,82,82,17138.622580645162,74030.99677419355,422.67,24.0,3.5,190698.21,3.0
2012-12-07,2065198.04,1633326.72,99,98,17138.622580645162,74030.99677419355,670.74,15.0,3.533333333333333,62533.170000000006,4.0
2012-12-08,2087384.34,1719369.91,111,111,17138.622580645162,74030.99677419355,415.37,33.0,3.787878787878788,73163.40000000001,4.0
2012-12-09,2430122.78,1883727.02,127,125,17138.622580645162,74030.99677419355,414.56,22.0,3.4545454545454546,104646.23,1.0
2012-12-10,2542389.69,2015472.58,149,146,17138.622580645162,74030.99677419355,970.88,23.0,4.173913043478261,111037.61,6.0
2012-12-11,3699430.17,3001083.16,192,190,17138.622580645162,74030.99677419355,976.51,19.0,3.8947368421052633,242939.81,10.0
2012-12-12,4386420.92,3545221.89,198,195,17138.622580645162,74030.99677419355,1205.98,24.0,4.125,34397.63,5.0
2012-12-13,2326824.81,1839144.84,138,138,17138.622580645162,74030.99677419355,1210.2,22.0,4.090909090909091,37029.24,4.0
2012-12-14,2659317.57,2101555.8,149,146,17138.622580645162,74030.99677419355,1253.03,30.0,4.066666666666666,78061.03,5.0
2012-12-15,3385542.75,2693057.28,196,194,17138.622580645162,74030.99677419355,999.73,25.0,4.0,169840.92,5.0
2012-12-16,3484853.43,2706611.68,204,202,17138.622580645162,74030.99677419355,1097.1,25.0,4.115384615384615,104475.16,7.0
2012-12-17,4281691.85,3433745.61,254,249,17138.622580645162,74030.99677419355,1489.75,31.0,3.935483870967742,60567.53999999999,5.0
2012-12-18,4394537.67,3473710.24,267,264,17138.622580645162,74030.99677419355,1626.4,25.0,3.9615384615384617,63381.55,3.0
2012-12-19,3785472.73,3004383.53,263,262,17138.622580645162,74030.99677419355,1661.65,25.0,3.88,130829.56,6.0
2012-12-20,3905985.95,3132486.67,227,223,17138.622580645162,74030.99677419355,2255.04,32.0,3.8125,103668.32,4.0
2012-12-21,3966203.09,3174444.37,252,252,17138.622580645162,74030.99677419355,1909.08,26.0,3.923076923076923,69088.36,5.0
2012-12-22,3225123.87,2559516.54,218,216,17138.622580645162,74030.99677419355,1757.44,32.0,4.03125,75866.12,3.0
2012-12-23,2151580.15,1770780.57,166,164,17138.622580645162,74030.99677419355,2069.81,26.0,4.230769230769231,120502.42000000001,6.0
2012-12-24,3297376.6,2599138.83,258,250,17138.622580645162,74030.99677419355,2092.18,27.0,4.074074074074074,99040.77,1.0
2012-12-25,4917024.98,3856446.89,341,335,17138.622580645162,74030.99677419355,2295.62,35.0,3.9714285714285715,44145.97,3.0
2012-12-26,3285221.25,2658633.45,262,257,17138.622580645162,74030.99677419355,2182.34,28.0,4.0,36165.68,3.0
2012-12-27,4994041.71,3924374.73,302,297,17138.622580645162,74030.99677419355,2189.86,31.0,3.967741935483871,96447.53,6.0
2012-12-28,8573663.31,6682336.48,558,553,17138.622580645162,74030.99677419355,2639.14,24.0,3.7916666666666665,22485.04,4.0
2012-12-29,7842913.37,6260959.87,459,455,17138.622580645162,74030.99677419355,3030.17,33.0,3.757575757575758,112906.42,3.0
2012-12-30,6511908.92,5180121.12,351,348,17138.622580645162,74030.99677419355,3274.78,37.0,3.8421052631578947,63983.79,3.0
2012-12-31,5573749.22,4432224.44,341,339,17138.622580645162,74030.99677419355,3023.97,37.0,4.081081081081081,43837.780000000006,5.0
2013-01-01,5304546.99,4156070.2,288,283,9760.0,39093.0,2364.26,31.0,4.15625,95662.8,7.0
2013-01-02,1606940.44,1237497.84,47,47,10456.0,47611.0,1718.99,44.0,3.6136363636363638,81196.83,3.0
2013-01-03,2281680.01,1832133.02,81,80,10076.0,36963.0,1054.45,37.0,3.972972972972973,217926.33000000002,8.0
2013-01-04,2376895.46,1940747.07,83,82,9973.0,53078.0,895.79,33.0,3.8181818181818183,146016.89,6.0
2013-01-05,2509462.77,1977027.71,78,77,10223.0,36790.0,116.68,32.0,3.8125,59026.649999999994,4.0
2013-01-06,2603356.52,2060481.76,93,93,9545.0,47160.0,318.44,41.0,4.097560975609756,72996.19,6.0
2013-01-07,3048100.39,2452517.39,113,113,10203.0,32749.0,342.21,61.0,4.112903225806452,184209.41,2.0
2013-01-08,2449700.42,1973182.14,90,90,9456.0,31482.0,478.39,50.0,4.14,162866.49,4.0
2013-01-09,2049715.7,1654806.5,75,75,9162.0,46717.0,298.18,39.0,3.775,112647.98000000001,11.0
2013-01-10,2794331.46,2122153.07,79,79,9887.0,38472.0,473.27,53.0,3.9622641509433962,59423.94,3.0
2013-01-11,2343077.25,1805692.13,79,79,9412.0,46916.0,181.55,43.0,3.883720930232558,76804.06,8.0
2013-01-12,2814596.53,2241879.07,92,90,8730.0,33336.0,444.85,44.0,4.090909090909091,147899.59,6.0
2013-01-13,2919719.62,2279740.92,112,112,8818.0,35427.0,423.61,45.0,4.044444444444444,101111.9,4.0
2013-01-14,3077677.28,2477490.97,120,116,8230.0,35402.0,366.72,32.0,3.71875,159730.47,6.0
2013-01-15,2536405.93,2094291.34,117,115,8102.0,39490.0,494.98,39.0,3.6923076923076925,69365.42000000001,8.0
2013-01-16,1849789.43,1445623.48,76,76,9373.0,37034.0,503.23,38.0,3.973684210526316,159948.72999999998,6.0
2013-01-17,2173214.95,1763012.0,83,83,9819.0,48840.0,435.25,47.0,3.8297872340425534,205183.93,8.0
2013-01-18,2099249.56,1615535.57,96,94,10041.0,35761.0,448.03000000000003,46.0,3.9565217391304346,94014.15,7.0
2013-01-19,2477132.79,2033637.15,94,93,8746.0,33440.0,485.94,51.0,4.019607843137255,233747.98,4.0
2013-01-20,2522776.58,2018671.04,116,113,10270.0,35184.0,343.61,49.0,3.8979591836734695,49755.07,4.0
2013-01-21,4100379.42,3250868.59,148,144,10339.0,40661.0,497.3,29.0,3.8666666666666667,119988.13999999998,6.0
2013-01-22,3538734.12,2801650.02,128,126,10100.0,39597.0,519.45,52.0,4.019230769230769,240377.34,6.0
2013-01-23,2836455.88,2322088.98,114,112,9307.0,39117.0,571.21,38.0,4.026315789473684,83578.0,5.0
2013-01-24,2522924.71,2102458.71,108,107,9698.0,36976.0,632.71,44.0,4.159090909090909,82274.73,7.0
2013-01-25,2823082.71,2273250.41,123,122,10600.0,42453.0,535.39,32.0,3.78125,186405.88,3.0
2013-01-26,2312290.79,1869897.73,107,106,10226.0,42655.0,607.52,42.0,3.8333333333333335,39063.71,6.0
2013-01-27,3818881.29,3023842.24,152,150,8604.0,44601.0,545.56,40.0,3.95,9859.79,8.0
2013-01-28,5008712.77,4035190.91,207,205,9701.0,51697.0,598.6,32.0,3.90625,80172.85,4.0
2013-01-29,4833870.43,4015854.7,214,209,8638.0,42663.0,426.11,30.0,3.7333333333333334,222469.08,3.0
2013-01-30,4296295.37,3414688.28,185,182,8596.0,30451.0,712.6,29.0,4.0,80234.24,8.0
2013-01-31,3378679.46,2731823.14,167,165,8915.0,47230.0,987.14,23.0,3.8260869565217392,46028.600000000006,6.0
2013-02-01,4073777.92,3289266.58,163,160,15758.0,63433.0,942.24,32.0,3.625,104236.94,1.0
2013-02-02,2351969.75,1915236.16,80,79,15027.0,56597.0,657.83,24.0,3.7083333333333335,80455.49,8.0
2013-02-03,2743224.75,2293960.05,102,102,14372.0,72606.0,537.49,21.0,3.8095238095238093,129036.72,5.0
2013-02-04,3599084.22,2986552.92,151,151,15623.0,62972.0,651.99,23.0,4.391304347826087,85275.22,4.0
2013-02-05,3829186.14,3181079.49,133,130,14177.0,62917.0,437.90999999999997,25.0,4.04,37955.8,3.0
2013-02-06,2313071.08,1919077.04,87,87,14103.0,66736.0,682.05,25.0,3.92,29175.109999999997,5.0
